# HRP age min,HRP age max,ln(income) min,ln(income) max,probability
15,25,8.00000000000,8.96348000000,0.096365
15,24,8.96348000000,9.65662700000,0.145438
15,24,9.65662700000,10.0620930000,0.181537
15,24,10.0620930000,10.3497750000,0.187408
15,24,10.3497750000,10.5729180000,0.16001
15,24,10.5729180000,10.7552400000,0.112989
15,24,10.7552400000,10.9093900000,0.06598
15,24,10.9093900000,11.0429220000,0.031869
15,24,11.0429220000,11.1607050000,0.012729
15,24,11.1607050000,11.2660650000,0.004204
15,24,11.2660650000,11.3613760000,0.001148
15,24,11.3613760000,11.4483870000,0.000259
15,24,11.4483870000,11.5284300000,0.000048
15,24,11.5284300000,11.6025380000,0.000007
15,24,11.6025380000,11.6715300000,0.000001
15,24,11.6715300000,11.7360690000,0.0
25,34,8.00000000000,8.96348000000,0.080126
25,34,8.96348000000,9.65662700000,0.127752
25,34,9.65662700000,10.0620930000,0.168785
25,34,10.0620930000,10.3497750000,0.184788
25,34,10.3497750000,10.5729180000,0.167646
25,34,10.5729180000,10.7552400000,0.126034
25,34,10.7552400000,10.9093900000,0.078514
25,34,10.9093900000,11.0429220000,0.040529
25,34,11.0429220000,11.1607050000,0.017335
25,34,11.1607050000,11.2660650000,0.006143
25,34,11.2660650000,11.3613760000,0.001804
25,34,11.3613760000,11.4483870000,0.000439
25,34,11.4483870000,11.5284300000,0.000088
25,34,11.5284300000,11.6025380000,0.000015
25,34,11.6025380000,11.6715300000,0.000002
25,34,11.6715300000,11.7360690000,0.0
35,44,8.00000000000,8.96348000000,0.074473
35,44,8.96348000000,9.65662700000,0.106598
35,44,9.65662700000,10.0620930000,0.134929
35,44,10.0620930000,10.3497750000,0.151034
35,44,10.3497750000,10.5729180000,0.149504
35,44,10.5729180000,10.7552400000,0.130871
35,44,10.7552400000,10.9093900000,0.101308
35,44,10.9093900000,11.0429220000,0.069351
35,44,11.0429220000,11.1607050000,0.041982
35,44,11.1607050000,11.2660650000,0.022474
35,44,11.2660650000,11.3613760000,0.010639
35,44,11.3613760000,11.4483870000,0.004453
35,44,11.4483870000,11.5284300000,0.001649
35,44,11.5284300000,11.6025380000,0.00054
35,44,11.6025380000,11.6715300000,0.000156
35,44,11.6715300000,11.7360690000,0.00004
45,54,8.00000000000,8.96348000000,0.063588
45,54,8.96348000000,9.65662700000,0.084318
45,54,9.65662700000,10.0620930000,0.103443
45,54,10.0620930000,10.3497750000,0.117412
45,54,10.3497750000,10.5729180000,0.123299
45,54,10.5729180000,10.7552400000,0.119796
45,54,10.7552400000,10.9093900000,0.107685
45,54,10.9093900000,11.0429220000,0.089558
45,54,11.0429220000,11.1607050000,0.068911
45,54,11.1607050000,11.2660650000,0.049057
45,54,11.2660650000,11.3613760000,0.032311
45,54,11.3613760000,11.4483870000,0.019689
45,54,11.4483870000,11.5284300000,0.0111
45,54,11.5284300000,11.6025380000,0.00579
45,54,11.6025380000,11.6715300000,0.002794
45,54,11.6715300000,11.7360690000,0.001247
55,64,8.00000000000,8.96348000000,0.060247
55,64,8.96348000000,9.65662700000,0.080832
55,64,9.65662700000,10.0620930000,0.100314
55,64,10.0620930000,10.3497750000,0.115155
55,64,10.3497750000,10.5729180000,0.122277
55,64,10.5729180000,10.7552400000,0.120101
55,64,10.7552400000,10.9093900000,0.109115
55,64,10.9093900000,11.0429220000, 0.091699
55,64,11.0429220000,11.1607050000,0.071283
55,64,11.1607050000,11.2660650000,0.051256
55,64,11.2660650000,11.3613760000,0.034091
55,64,11.3613760000,11.4483870000,0.020974
55,64,11.4483870000,11.5284300000,0.011936
55,64,11.5284300000,11.6025380000,0.006283
55,64,11.6025380000,11.6715300000,0.003059
55,64,11.6715300000,11.7360690000,0.001378
65,74,8.00000000000,8.96348000000,0.084706
65,74,8.96348000000,9.65662700000,0.116164
65,74,9.65662700000,10.0620930000,0.141462
65,74,10.0620930000,10.3497750000,0.152976
65,74,10.3497750000,10.5729180000,0.146899
65,74,10.5729180000,10.7552400000,0.125265
65,74,10.7552400000,10.9093900000,0.094853
65,74,10.9093900000,11.0429220000,0.06378
65,74,11.0429220000,11.1607050000,0.038083
65,74,11.1607050000,11.2660650000,0.020192
65,74,11.2660650000,11.3613760000,0.009507
65,74,11.3613760000,11.4483870000,0.003974
65,74,11.4483870000,11.5284300000,0.001475
65,74,11.5284300000,11.6025380000,0.000486
65,74,11.6025380000,11.6715300000,0.000142
65,74,11.6715300000,11.7360690000,0.000037
75,80,8.00000000000,8.96348000000,0.11439
75,80,8.96348000000,9.65662700000,0.179373
75,80,9.65662700000,10.0620930000,0.217635
75,80,10.0620930000,10.3497750000,0.204325
75,80,10.3497750000,10.5729180000,0.148432
75,80,10.5729180000,10.7552400000,0.083431
75,80,10.7552400000,10.9093900000,0.036282
75,80,10.9093900000,11.0429220000,0.012205
75,80,11.0429220000,11.1607050000,0.003176
75,80,11.1607050000,11.2660650000,0.000639
75,80,11.2660650000,11.3613760000,0.000099
75,80,11.3613760000,11.4483870000,0.000012
75,80,11.4483870000,11.5284300000,0.000001
75,80,11.5284300000,11.6025380000,0.0
75,80,11.6025380000,11.6715300000,0.0
75,80,11.6715300000,11.7360690000,0.0